Species,Family,Sitename,Continent,Site_No,Cont_No,Species_No,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,Photo,Tleaf,CO2S,PARi,LMA,Perc_N,Perc_P,Narea,Parea,Photomass,Jmaxmass,Vcmaxmass,Nmass,Pmass,NPratio,Plim_status
Alphitonia whitei,Rhamnaceae,Kairi Creek Road,Australia,39,21,71,62.5,120.1,0.41,4.5,3.4,0.56,11.3,27.3,385,2000,166.0444,1.59,0.061,2.49,0.09,68.2,723.1,376.5,15.94,0.61,26,Low P
Cardwellia sublimis,Proteaceae,Kairi Creek Road,Australia,39,74,70,41.4,80.4,0.41,2.7,2.4,0.43,9.1,25.3,388,1999,142.1177143,1.24,0.045,1.74,0.06,64,565.5,291.4,12.37,0.45,27.7,Low P
Cryptocarya onoprienkoana,Lauraceae,Kairi Creek Road,Australia,39,130,44,39.3,80.8,0.97,2.6,2.8,0.42,7.3,26.8,392,2000,105.2516,1.76,0.073,1.85,0.08,69.2,767.4,373,17.59,0.73,24,Low P
Darlingia darlingiana,Proteaceae,Kairi Creek Road,Australia,39,133,70,41,83.6,0.31,2.7,2.6,0.43,8.4,30.7,389,2000,175.45,1.19,0.084,2.09,0.15,47.8,476.7,233.8,11.92,0.84,14.2,Low P
Geissois biagiana,Cunoniaceae,Kairi Creek Road,Australia,39,195,28,55,98.9,0.28,2.2,1.6,0.29,11.7,26,386,1999,129.06,1.24,0.054,1.59,0.07,90.7,766.1,426.1,12.42,0.54,23.1,Low P
Glochidion sessiliflorum subsp. pedicellatum,Euphorbiaceae,Kairi Creek Road,Australia,39,197,35,38.7,74.7,0.12,3,2.5,0.41,6.7,25.7,390,2000,96.143,1.41,0.048,1.35,0.05,69.3,776.9,402.7,14.05,0.48,29.1,Low P
Litsea bindoniana,Lauraceae,Kairi Creek Road,Australia,39,254,44,74.6,101.2,-0.76,9.4,4.7,0.85,14.1,29.4,382,1999,143.803,1.75,0.05,2.52,0.07,98.1,703.5,518.7,17.51,0.5,35.1,Low P
Litsea leefeana,Lauraceae,Kairi Creek Road,Australia,39,255,44,36.3,80.7,0.59,2,2.4,0.4,6.8,28.1,391,1999,119.223,1.66,0.061,1.98,0.07,57,677.3,304.9,16.63,0.61,27.1,Low P
Anogeissus leiocarpa,Combretaceae,Kogyae,Africa,40,34,26,46.2,121.7,0.6,0.6,1.2,0.15,10.7,33.4,386,1875,90.7325,1.61,0.311,1.45,0.28,118.2,1340.8,508.7,16.1,3.11,5.2,Mod. P
Daniellia oliveri,Fabaceae,Kogyae,Africa,40,132,36,24.5,75.4,-0.37,4.1,8.8,1.11,7.2,33.5,391,2001,109.645,1.82,0.111,1.98,0.12,65.4,687.3,223.5,18.19,1.11,16.4,Mod. P
Khaya anthotheca,Meliaceae,Kogyae,Africa,40,233,53,24.2,64.1,1,1.3,2.1,0.32,5.5,33.8,393,2000,131.8,1.29,0.071,1.7,0.09,41.9,486.3,183.8,12.88,0.71,18.3,Low P
Lannea barteri,Anacardiaceae,Kogyae,Africa,40,239,2,33.4,99.8,1.31,2.3,5.5,0.72,9.5,35,386,2000,118.635,1.4,0.185,1.65,0.22,80.2,841.4,281.2,13.95,1.85,7.6,Mod. P
Maranthes polyandra,Chrysobalanaceae,Kogyae,Africa,40,270,23,62.8,140.1,1.29,3.3,4.1,0.65,17.9,33.8,376,1999,138.78,2.04,0.125,2.83,0.17,129,1009.2,452.7,20.37,1.25,16.3,Mod. P
Pterocarpus erinaceus,Fabaceae,Kogyae,Africa,40,368,36,38.1,84.3,0.06,1.9,2.5,0.41,9.9,33.6,387,2000,68.43333333,2.43,0.187,1.69,0.13,145.3,1231.2,557.3,24.31,1.87,13,Mod. P
Terminalia schimperiana,Combretaceae,Kogyae,Africa,40,440,26,56.4,144.3,0.87,1.8,3.2,0.39,12.7,35.1,383,2000,120.528,1.8,0.15,2.17,0.18,105.6,1197.1,468.1,18.03,1.5,12.1,Mod. P
Vitellaria paradoxa,Sapotaceae,Kogyae,Africa,40,464,77,42.8,92,1.4,3.4,3.8,0.58,7.9,35.3,390,2000,124.44,1.44,0.166,1.8,0.2,63.6,738.9,344.1,14.44,1.66,8.7,Mod. P
Aleurites rockinghamensis,Euphorbiaceae,Koombooloomba,Australia,41,18,35,71.1,98.4,0.26,3.9,3.4,0.36,14,27,382,2000,81.87722222,2.69,0.187,2.21,0.15,171.3,1201.3,867.8,26.95,1.87,14.4,Mod. P
Allocasuarina torulosa,Casuarinaceae,Koombooloomba,Australia,41,19,20,46.4,88.8,0.85,2.2,1.9,0.35,10,31,391,2000,150.351,1.14,0.038,1.71,0.06,66.7,590.8,308.9,11.39,0.38,30.1,Low P
Alphitonia petriei,Rhamnaceae,Koombooloomba,Australia,41,20,71,72,138.8,1.51,4.5,4.8,0.56,10.2,24.6,387,2000,133.700625,2.04,0.087,2.7,0.11,76.4,1038.3,538.8,20.39,0.87,23.5,Low P
Beilschmiedia bancroftii,Lauraceae,Koombooloomba,Australia,41,49,44,43.3,123.3,0.75,1.9,2.5,0.54,8.1,28.5,389,2000,165.58525,2.63,0.112,4.34,0.18,48.9,744.7,261.4,26.29,1.12,23.6,Mod. P
Beilschmiedia collina,Lauraceae,Koombooloomba,Australia,41,50,44,62,166.5,1.25,1.6,3.4,0.38,11.7,24,386,2000,144.4853333,2.54,0.134,3.67,0.19,80.7,1152.1,428.8,25.35,1.34,18.9,Mod. P
Beilschmiedia recurva,Lauraceae,Koombooloomba,Australia,41,51,44,42.6,55.8,0.93,7.2,3.3,0.56,7.7,24.2,390,2001,154.432,2.03,0.097,3.14,0.15,49.9,361,275.8,20.35,0.97,20.9,Mod. P
Castanospora alphandi,Sapindaceae,Koombooloomba,Australia,41,82,76,39.2,104,0.42,1.2,2.1,0.31,9.1,29.3,388,2000,134.88075,1.91,0.13,2.58,0.17,67.2,771.3,290.6,19.1,1.3,14.7,Mod. P
Corymbia intermedia,Myrtaceae,Koombooloomba,Australia,41,121,59,112.3,153.2,-1.39,14.1,5.6,0.94,24.5,30.8,367,2000,161.963,1.72,0.056,2.79,0.09,151.3,945.8,693.4,17.22,0.56,31,Low P
Cryptocarya oblata,Lauraceae,Koombooloomba,Australia,41,129,44,43.8,116.7,1.34,2,5.3,0.48,7,23,392,2000,120.0818,2,0.07,2.41,0.08,58.5,971.4,364.7,20.01,0.7,28.6,Low P
Elaeocarpus largiflorens,Elaeocarpaceae,Koombooloomba,Australia,41,147,33,47.8,101.7,0.44,2.7,2.9,0.42,10.6,24,387,2000,184.5766667,1.34,0.049,2.48,0.09,57.2,550.8,259,13.39,0.49,27.2,Low P
Endiandra sankeyana,Lauraceae,Koombooloomba,Australia,41,150,44,43.9,103.2,0.76,2.7,3.8,0.5,9,23.7,389,2000,134.2606667,1.75,0.101,2.36,0.14,67.2,768.5,326.7,17.53,1.01,17.4,Mod. P
Eucalyptus intermedia,Myrtaceae,Koombooloomba,Australia,41,165,59,70.8,141.8,0.75,5.2,4.6,0.7,13.6,31.2,383,2000,192.8527,1.34,0.059,2.57,0.11,70.6,735.3,367,13.39,0.59,22.6,Low P
Eucalyptus tereticornis,Myrtaceae,Koombooloomba,Australia,41,171,59,84.1,131.7,-0.55,6.3,3.7,0.62,17.4,30.8,376,2000,174.7403077,1.56,0.081,2.72,0.14,99.6,753.4,481.2,15.62,0.81,19.4,Low P
Euroschinus falcata,Anacardiaceae,Koombooloomba,Australia,41,175,2,51.3,96.4,0.22,2.4,2,0.36,11.3,28.4,385,2000,96.39071429,2.12,0.102,2.06,0.1,117.1,999.9,532.2,21.23,1.02,20.7,Mod. P
Flindersia bourjotiana,Rutaceae,Koombooloomba,Australia,41,188,74,48.7,81.2,0.76,3.7,2.5,0.47,10,25.8,387,2000,143.0786667,1.28,0.064,1.83,0.09,70.1,567.8,340.5,12.8,0.64,20.1,Low P
Glochidion hylandii,Euphorbiaceae,Koombooloomba,Australia,41,196,35,45.5,89.3,0.17,2.1,1.8,0.31,11.4,27.3,384,2000,93.34633333,1.89,0.09,1.76,0.08,122.5,956.5,487.3,18.89,0.9,21.1,Low P
Litsea leefeana,Lauraceae,Koombooloomba,Australia,41,255,44,48.7,111.8,0.24,2.3,2.2,0.38,10.6,30.9,386,2000,129.163375,1.8,0.094,2.33,0.12,81.7,865.5,377.3,18.01,0.94,19.1,Mod. P
Lophostemon suaveolens,Myrtaceae,Koombooloomba,Australia,41,256,59,61.5,135.9,0.17,2.2,2.4,0.4,14.1,31,381,2000,146.3886667,1.46,0.064,2.14,0.09,96.3,928.5,419.8,14.64,0.64,23,Low P
Polyscias elegans,Araliaceae,Koombooloomba,Australia,41,331,7,46.7,103.4,0.37,2,3.2,0.37,10.2,27.8,387,2000,109.6796667,2.02,0.088,2.21,0.1,93,942.7,426.1,20.25,0.88,22.9,Low P
Siphonodon membranaceus,Celastraceae,Koombooloomba,Australia,41,398,21,37.5,99.9,0.78,1,2.8,0.26,8,26.9,389,1999,94.737,2.7,0.147,2.56,0.14,84.5,1054.8,395.8,27.02,1.47,18.4,Mod. P
Sloanea australis,Elaeocarpaceae,Koombooloomba,Australia,41,399,33,30.2,72.6,1.26,1.3,1.7,0.31,5.1,23.7,394,2000,124.8176667,1.44,0.045,1.79,0.06,40.5,581.4,241.7,14.39,0.45,31.9,Low P
Synima macrophylla,Sapindaceae,Koombooloomba,Australia,41,420,76,23.7,59,1.37,1.6,2.6,0.29,4.1,22.1,395,2000,130.8603333,2.12,0.104,2.77,0.14,31.4,450.7,181.1,21.22,1.04,20.3,Mod. P
Clethra cuneata,Clethraceae,Kosnipata,S_Amer,42,102,24,67.7,169,0.65,4.3,8.1,0.73,9.9,20.5,384,1100,187.935,1.32,0.108,2.48,0.21,52.8,899.2,360.4,13.16,1.08,12.2,Mod. P
Clusia cretosa,Clusiaceae,Kosnipata,S_Amer,42,106,25,89.8,182.8,0.89,7.9,17.3,1.1,10.3,21.4,368,1017,135.9466667,1.97,0.178,2.69,0.24,75.9,1344.5,660.6,19.68,1.78,11.1,Mod. P
Schefflera allocotantha,Araliaceae,Kosnipata,S_Amer,42,387,7,64.2,148.9,0.22,2.5,3.5,0.37,9.4,18.7,381,999,175.2,1.02,0.083,1.78,0.15,53.9,849.8,366.5,10.15,0.83,12.3,Low P
Weinmannia bangii,Cunoniaceae,Kosnipata,S_Amer,42,469,28,74.1,243.4,1.59,1.8,NA,0.63,11.7,22.1,372,999,99.805,1.45,0.135,1.45,0.13,116.7,2439,742.9,14.53,1.35,10.8,Mod. P
Dipterocarpus tuberculatus,Dipterocarpaceae,Kratie,Asia,43,139,31,48.5,95.9,0.65,1.9,2,0.29,12.9,32.5,383,1500,111.8,1.77,0.123,1.98,0.14,115.1,858.1,433.5,17.67,1.23,14.4,Mod. P
Shorea obtusa,Dipterocarpaceae,Kratie,Asia,43,395,31,44.7,79.2,0.49,2.5,1.9,0.3,12.9,32,382,1499,97.375,1.72,0.107,1.68,0.1,132.9,813.2,459.5,17.15,1.07,16,Mod. P
Terminalia alata,Combretaceae,Kratie,Asia,43,434,26,50.3,99.1,0.61,3.1,3.8,0.58,15.2,33.6,379,1499,125.5,1.52,0.104,1.91,0.13,120.7,789.8,401,15.2,1.04,14.6,Mod. P
"Terminalia tomentosa """"grande""""",Combretaceae,Kratie,Asia,43,441,26,48.2,95.2,-0.11,1.9,2,0.29,14.7,32.1,380,1500,131.995,1.32,0.084,1.74,0.11,111,720.9,365.3,13.23,0.84,15.8,Low P
Xylia xylocarpa,Leguminosae,Kratie,Asia,43,472,46,40.6,88.1,0.63,2.8,3.2,0.48,11.4,31.8,384,1500,111.6566667,2.23,0.089,2.47,0.1,102.4,789.1,363.4,22.27,0.89,25,Low P
Banksia_mariana,Proteaceae,Kuringgai-Chase_NP,Australia,44,47,70,98.9,189.2,1.66,5.8,6,0.82,16.6,26,360,2001,174.37,1.18,0.036,2.05,0.06,95.2,1084.9,567.1,11.76,0.36,33.1,Low P
Hakea_dactyloides,Proteaceae,Kuringgai-Chase_NP,Australia,44,208,70,62.4,105.4,2.4,7.1,4.4,1.04,10.8,28.1,361,1950,282.255,0.71,0.016,1.99,0.05,38.1,373.5,221.2,7.1,0.16,43.7,Low P
Shorea acuta,Dipterocarpaceae,Lambir_HillsNP,Asia,45,393,31,46.4,83.9,0.38,4.4,4.7,0.82,14.3,29.9,361,1500,240.8,1.32,0.041,3.18,0.1,59.4,348.6,192.8,13.21,0.41,32.2,Low P
Shorea beccariana,Dipterocarpaceae,Lambir_HillsNP,Asia,45,394,31,53.5,94.4,-1.55,7.4,7.1,1.06,14.7,30,358,1501,203.65,1.54,0.044,3.13,0.09,71.9,463.7,262.6,15.39,0.44,35.4,Low P
Duguetia stelechantha,Annonaceae,Manaus,S_Amer,46,143,3,33.1,51,0.03,3,2,0.38,9.1,30,385,1500,147.4666667,2.37,0.05,3.5,0.07,61.7,346.1,224.8,23.69,0.5,47.1,Low P
Mabea speciosa,Euphorbiaceae,Manaus,S_Amer,46,262,35,36,66.5,0.65,2.9,2.6,0.48,9.3,29.1,384,1500,136.7333333,2.29,0.112,3.13,0.15,67.8,486.1,263.1,22.93,1.12,20.4,Mod. P
Micropholis cylindrocarpa,Sapotaceae,Manaus,S_Amer,46,278,77,38.8,66,0.64,3.9,3.7,0.63,7.6,30.2,387,2000,203.9,2.61,0.037,5.3,0.08,37.2,323.7,190.3,26.07,0.37,71.4,Low P
Pourouma villosa,Urticaceae,Manaus,S_Amer,46,341,84,43,63.8,-1.32,7.3,5.1,0.82,12,30,380,2000,140.3666667,2,0.047,2.8,0.07,85.4,454.2,306.1,19.95,0.47,42.8,Low P
Pouteria caimito,Sapotaceae,Manaus,S_Amer,46,344,77,30.2,56.2,0.46,4.6,4.2,0.78,8,29.7,386,1500,125.45,1.96,0.044,2.45,0.05,64,448.1,240.5,19.57,0.44,45,Low P
Pterandra arborea,Malpighiaceae,Manaus,S_Amer,46,367,50,62.8,95.6,0.92,3.4,2.2,0.38,12.1,30.7,380,2000,168.6333333,1.7,0.04,2.87,0.07,71.5,566.7,372.6,16.97,0.4,42.8,Low P
Amphimas pterocarpoides,Fabaceae,Mban-Djeren_CAM,Africa,47,28,36,41.4,94.9,1.2,1.7,2.5,0.44,7.4,31,391,2001,67.669,3.71,0.12,2.51,0.08,109.7,1402.5,611.8,37.13,1.2,30.9,Mod. P
ANI2 2,NA,Mban-Djeren_CAM,Africa,47,29,NA,23.7,48.3,0.4,1.2,1.2,0.24,6,30.3,393,2000,64.56,2.96,0.094,1.91,0.06,92.2,748.5,366.4,29.55,0.94,31.4,Mod. P
Annona senegalensis,Annonaceae,Mban-Djeren_CAM,Africa,47,32,3,67.5,114.7,-1.43,2.7,2.5,0.47,19.3,31.1,374,2000,152.4566667,1.59,0.092,2.42,0.14,126.8,752.6,442.8,15.87,0.92,17.2,Mod. P
Antidesma laciniatum,Phyllanthaceae,Mban-Djeren_CAM,Africa,47,36,67,53.1,93.6,-0.15,1.3,1.1,0.22,13,31.1,383,2000,71.56066667,2.36,0.097,1.69,0.07,181.7,1307.6,742.5,23.62,0.97,24.3,Mod. P
Berlinia grandiflora,Fabaceae,Mban-Djeren_CAM,Africa,47,52,36,53.8,99.8,-0.05,1.4,1.6,0.25,9.5,30.3,389,2000,100.94,2.4,0.158,2.42,0.16,94.3,989.2,533,23.97,1.58,15.2,Mod. P
Celtis adolfi-friderici,Cannabaceae,Mban-Djeren_CAM,Africa,47,88,17,41.4,92.4,0.37,1.1,1.5,0.25,8.9,31,381,1999,106.1366667,1.72,0.114,1.81,0.12,83.9,870.8,389.8,17.17,1.14,15.1,Mod. P
Cola lateritia,Malvaceae,Mban-Djeren_CAM,Africa,47,110,51,16.1,33.7,0.56,1.2,1.4,0.26,4.4,29.9,395,2000,78.5905,1.63,0.112,1.28,0.09,56,428.3,205.2,16.3,1.12,14.6,Mod. P
Combretum sp.,Combretaceae,Mban-Djeren_CAM,Africa,47,116,26,38.3,75.4,0.17,1.5,1.5,0.29,10,29.6,387,1999,105.1302857,1.62,0.1,1.7,0.11,94.7,717.6,364,16.17,1,16.1,Mod. P
Crossopteryx febrifuga,Rubiaceae,Mban-Djeren_CAM,Africa,47,128,73,30.6,66.8,0.44,1.5,1.6,0.3,7.7,33.1,389,1909,112.7269545,1.05,0.134,1.18,0.15,68.3,593,271.8,10.52,1.34,7.9,Mod. P
Daniellia oliveri,Fabaceae,Mban-Djeren_CAM,Africa,47,132,36,13.7,47.3,0.41,0.7,2.2,0.22,3.7,36.1,394,2000,146.1628,0.92,0.058,1.33,0.08,25.5,323.3,93.7,9.17,0.58,16,Low P
Ficus exasperata,Moraceae,Mban-Djeren_CAM,Africa,47,179,56,57,105.5,-0.6,3.3,3.2,0.58,15.6,29.1,379,1999,114.8883333,2.23,0.122,2.55,0.14,135.5,918.3,495.8,22.27,1.22,18.3,Mod. P
Ficus variifolia,Moraceae,Mban-Djeren_CAM,Africa,47,185,56,28.9,63.8,0.16,1.2,1.7,0.29,8.5,29.7,388,1999,39.51533333,2.5,0.151,0.98,0.06,214.3,1615.2,731.8,24.96,1.51,16.5,Mod. P
Funtumia elastica,Apocynaceae,Mban-Djeren_CAM,Africa,47,190,5,44.1,95.5,0,2.1,27.8,0.43,10.7,30.9,386,2000,84.37381818,2.52,0.112,2.09,0.09,126.4,1131.5,522.2,25.22,1.12,22.6,Mod. P
Gymnosporia senegalensis,Celastraceae,Mban-Djeren_CAM,Africa,47,206,21,22.9,75.1,0.33,1.2,4.2,0.45,6.4,35,391,2000,195.0368889,0.54,0.209,1.05,0.4,32.9,384.9,117.6,5.39,2.09,2.6,Mod. P
Homalium sp.,Salicaceae,Mban-Djeren_CAM,Africa,47,217,75,49.7,83.5,-0.09,2.4,1.6,0.31,12.3,28.8,384,2000,136.5716667,1.76,0.051,2.4,0.07,90.3,611.5,363.8,17.55,0.51,34.2,Low P
Hymenocardia acida,Phyllanthaceae,Mban-Djeren_CAM,Africa,47,220,67,54.1,110.4,-0.6,2.5,2.3,0.43,14.8,34.3,379,2001,121.0584444,1.46,0.141,1.76,0.17,122.4,911.7,447.1,14.6,1.41,10.3,Mod. P
Ind.plot7,NA,Mban-Djeren_CAM,Africa,47,225,NA,50.7,113.6,-0.02,1.6,2.2,0.39,13,30.3,383,1999,71.96066667,3.13,0.111,2.23,0.08,180.2,1578.6,704.1,31.33,1.11,28.2,Mod. P
Irvingia gabonensis,Irvingiaceae,Mban-Djeren_CAM,Africa,47,230,41,25.5,66.7,0.69,1.9,5,0.55,5.8,31.5,392,2000,96.426,1.95,0.069,1.88,0.07,60.1,691.4,264.3,19.53,0.69,28.5,Low P
Leg2,Fabaceae,Mban-Djeren_CAM,Africa,47,244,36,51.7,110.1,0.92,1.4,2.1,0.32,10.4,29.5,387,2000,81.18266667,3.24,0.167,2.63,0.13,128.4,1356.4,636.8,32.41,1.67,19.4,Mod. P
Maprounea membranacea,Euphorbiaceae,Mban-Djeren_CAM,Africa,47,268,35,31,76.6,0.22,2.1,2.7,0.48,7.8,32.8,389,2000,90.94733333,1.6,0.077,1.3,0.07,85.6,842.7,340.9,15.98,0.77,20.9,Low P
Maranthes chrysophylla,Chrysobalanaceae,Mban-Djeren_CAM,Africa,47,269,23,37.4,99.2,0.84,1.4,2.5,0.42,10.1,29.6,386,2000,116.123,1.62,0.068,1.89,0.08,87.2,854,322.3,16.22,0.68,24,Low P
Markhamia lutea,Bignoniaceae,Mban-Djeren_CAM,Africa,47,271,10,56.4,115,0.93,2.5,2.5,0.45,12.4,29.1,384,1999,49.664,3.43,0.24,1.58,0.11,249.4,2314.8,1135.3,34.29,2.4,14.3,Mod. P
Milicia excelsa,Moraceae,Mban-Djeren_CAM,Africa,47,285,56,63,105,-0.22,4,3.3,0.59,15.2,29.1,380,2000,125.32725,2.16,0.112,2.7,0.14,121.6,837.8,502.4,21.63,1.12,19.4,Mod. P
Ochna 1,Ochnaceae,Mban-Djeren_CAM,Africa,47,303,61,48.6,95.2,-0.88,3.2,2.4,0.45,13.2,30.6,382,2000,92.46788889,2.27,0.08,2.1,0.08,142.8,1029.8,526,22.74,0.8,28.3,Low P
Oncoba glauca,Salicaceae,Mban-Djeren_CAM,Africa,47,309,75,41.9,81.7,0.79,2.9,2.9,0.54,7.9,31,391,2000,78.33185714,1.92,0.09,1.5,0.07,101.1,1043.3,535.1,19.2,0.9,21.2,Low P
Oncoba sp.,Salicaceae,Mban-Djeren_CAM,Africa,47,310,75,34.4,85.8,1.17,1.5,2.5,0.37,6,31.2,395,1999,107.855,1.59,0.088,1.72,0.09,56,795.7,319.2,15.91,0.88,18.2,Low P
Parkia biglobosa,Fabaceae,Mban-Djeren_CAM,Africa,47,318,36,52.4,107.9,0.59,2.5,2.7,0.47,12.9,29.6,387,1999,89.10118182,2.87,0.139,2.53,0.12,144.4,1211.3,588.1,28.69,1.39,20.7,Mod. P
Piliostigma thonningii,Fabaceae,Mban-Djeren_CAM,Africa,47,324,36,50.8,85.6,-0.29,3.5,2.5,0.46,12.6,33.8,383,2000,140.8657857,1.13,0.198,1.57,0.28,89.2,607.6,360.7,11.29,1.98,5.7,Mod. P
Pouteria alnifolia,Sapotaceae,Mban-Djeren_CAM,Africa,47,342,77,43.5,95.2,-0.3,0.7,1.1,0.17,10.9,29.4,386,2000,88.71366667,2.95,0.138,2.6,0.12,123.2,1073.6,490,29.48,1.38,21.3,Mod. P
Quassia sp.,Simaroubaceae,Mban-Djeren_CAM,Africa,47,373,78,52.1,112.4,0.07,2.5,3.2,0.54,12.1,29.7,385,2000,121.4196667,2.81,0.128,3.4,0.15,99.9,925.7,429.1,28.11,1.28,22,Mod. P
Sapium sp.,Euphorbiaceae,Mban-Djeren_CAM,Africa,47,385,35,43.4,98.8,0.52,1.3,2.2,0.28,10.1,29.6,389,2000,101.3478,2.15,0.115,2.19,0.12,100.1,974.4,428.2,21.54,1.15,18.7,Mod. P
Spondias mombin,Anacardiaceae,Mban-Djeren_CAM,Africa,47,407,2,30.9,63.2,0.33,1.4,1.7,0.3,7.6,30.3,390,2000,85.0835,1.83,0.106,1.54,0.09,89.7,742.9,362.6,18.27,1.06,17.3,Mod. P
Spondias sp.,Anacardiaceae,Mban-Djeren_CAM,Africa,47,408,2,39.9,93.4,0.35,2.1,2.7,0.39,10.2,30.2,390,1999,75.70433333,2.33,0.144,1.77,0.11,134.8,1233.4,526.5,23.31,1.44,16.2,Mod. P
Syzygium guineense,Myrtaceae,Mban-Djeren_CAM,Africa,47,422,59,45.4,91.4,0.03,3.4,3.7,0.63,11.3,33.2,384,2000,157.4206667,1.08,0.08,1.67,0.13,71.8,580.9,288.6,10.82,0.8,13.6,Low P
Tabernaemontana crassa,Apocynaceae,Mban-Djeren_CAM,Africa,47,426,5,33.2,79.6,0.25,0.8,1.2,0.19,7.3,29.9,390,2000,51.13333333,3.03,0.44,1.55,0.23,141.9,1556.2,648.6,30.27,4.4,6.9,Mod. P
Trichilia rubescens,Meliaceae,Mban-Djeren_CAM,Africa,47,447,53,33.9,77.9,0.04,0.9,1.2,0.22,9.1,30.3,388,2000,75.10133333,2.61,0.127,1.89,0.09,120.6,1036.6,451.8,26.12,1.27,20.6,Mod. P
Trilepisium madagascariense,Moraceae,Mban-Djeren_CAM,Africa,47,449,56,52,86.5,-0.03,3,2.3,0.43,11.4,29.6,386,2000,105.1302222,2.33,0.133,2.45,0.14,108.1,822.5,494.2,23.33,1.33,17.5,Mod. P
Uapaca guineensis,Phyllanthaceae,Mban-Djeren_CAM,Africa,47,453,67,49.2,111.6,0.39,1,1.4,0.23,11.5,29.3,385,1999,95.784,1.83,0.076,1.75,0.07,120.1,1164.8,513.6,18.29,0.76,24.1,Low P
Vitex doniana,Lamiaceae,Mban-Djeren_CAM,Africa,47,465,42,56.3,116.9,0.23,3.9,4.3,0.77,14.9,30.8,381,2000,196.7623333,1.31,0.088,2.48,0.16,75.9,594.1,285.9,13.12,0.88,14.9,Low P
Ximenia americana,Ximeniaceae,Mban-Djeren_CAM,Africa,47,471,87,55.3,118.5,-0.88,3,3.3,0.62,14.3,30.5,381,1999,158.0676667,2.97,0.179,4.69,0.28,90.5,749.8,350.1,29.73,1.79,16.6,Mod. P
Xylopia aethiopica,Annonaceae,Mban-Djeren_CAM,Africa,47,473,3,56.7,124.2,0.72,3.1,4.6,0.68,11.3,31.1,385,2000,142.3326,2.11,0.07,3,0.1,79.7,872.8,398.3,21.11,0.7,30.2,Low P
Combretum ghasalense,Combretaceae,Mole,Africa,49,112,26,48.3,116.1,0.16,2.3,3,0.47,13.2,35.5,382,2000,122.0211111,1.4,0.089,1.72,0.11,108.4,951.1,396,14.03,0.89,15.8,Low P
Lannea acida,Anacardiaceae,Mole,Africa,49,238,2,41.9,112.4,0.01,1.5,2.6,0.36,12.1,35.7,383,2000,104.6733333,1.37,0.123,1.43,0.13,115.2,1073.4,400.5,13.71,1.23,11.2,Mod. P
Maytenus senegalensis,Celastraceae,Mole,Africa,49,273,21,35.9,103.9,0.44,2.1,4.2,0.53,11.4,35.5,384,2000,132.6922222,1.16,0.098,1.54,0.13,86,782.7,270.5,11.55,0.98,11.8,Mod. P
Terminalia avicennioides,Combretaceae,Mole,Africa,49,435,26,67.8,150.5,-0.2,3,3.9,0.56,19.2,35.3,373,2001,137.4577778,1.5,0.093,2.06,0.13,140,1095.2,493.1,15.03,0.93,16.1,Mod. P
Vitellaria paradoxa,Sapotaceae,Mole,Africa,49,464,77,42.6,98.2,0.82,2.7,3.4,0.49,8.7,34.9,388,2000,111.127,1.32,0.08,1.47,0.09,78.1,883.8,383.7,13.25,0.8,16.5,Low P
Agonandra_silvatica,Opiliaceae,Nouragues,S_Amer,51,12,64,28.9,60.5,0.64,0.8,0.9,0.19,7.3,31,381,1299,101.5633333,1.86,0.054,1.89,0.05,71.5,595.3,284.1,18.64,0.54,34.8,Low P
Aniba _rosaeodora,Lauraceae,Nouragues,S_Amer,51,30,44,16.2,33.5,0.39,0.8,0.8,0.17,4.6,30.9,384,1300,120.58,1.38,0.042,1.66,0.05,37.9,278.2,134.6,13.79,0.42,32.5,Low P
Brosimum_guianense,Moraceae,Nouragues,S_Amer,51,62,56,20.5,39,0.36,1,1.1,0.26,4.9,29.7,383,1312,68.27333333,1.63,0.083,1.12,0.06,71.7,571.8,300.3,16.34,0.83,19.7,Low P
Capirona_decorticans,Rubiaceae,Nouragues,S_Amer,51,71,73,12.3,31.5,0.15,1.1,1.6,0.39,3.6,31.3,385,1299,82.07,2.19,0.059,1.8,0.05,43.9,384.1,149.6,21.89,0.59,36.9,Low P
Caryocar_glabrum,Caryocaraceae,Nouragues,S_Amer,51,77,19,20.4,56.6,1.22,0.6,1.1,0.21,4.1,30.8,384,1300,134.205,1.3,0.05,1.75,0.07,30.5,421.4,151.7,13.02,0.5,26.1,Low P
Chimarrhis_turbinata,Rubiaceae,Nouragues,S_Amer,51,93,73,31.9,74.3,0.44,0.7,1.2,0.19,7.9,31.5,380,1316,115.87,1.79,0.056,2.07,0.06,67.8,641.3,274.9,17.88,0.56,31.9,Low P
Chrysophyllum_argenteum,Sapotaceae,Nouragues,S_Amer,51,97,77,21.6,51.5,0.39,1.1,1.6,0.31,5.4,30.5,383,1299,128.73,1.47,0.035,1.89,0.05,42.3,399.9,167.8,14.7,0.35,42,Low P
Couepia_caryophylloides,Chrysobalanaceae,Nouragues,S_Amer,51,126,23,33.8,83.3,0.2,1.7,3,0.48,9.2,31.1,378,1310,141.69,1.85,0.055,2.62,0.08,64.8,588,238.8,18.47,0.55,33.5,Low P
Dicorynia_guianensis,Fabaceae,Nouragues,S_Amer,51,136,36,26.7,66.3,0.85,0.9,1.4,0.25,6.1,30.7,382,1299,130.32,1.99,0.052,2.57,0.07,47.1,508.9,205,19.87,0.52,38.3,Low P
